"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"SOTT1ExposureContacts","SOTT1ExposureContacts","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1 Exposure - Contacts","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"SOTT1ExposureContacts.id","SOTT1ExposureContacts.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SOTT1ExposureContacts.extension","SOTT1ExposureContacts.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SOTT1ExposureContacts.modifierExtension","SOTT1ExposureContacts.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SOTT1ExposureContacts.interviewerName","SOTT1ExposureContacts.interviewerName","","","",0,1,"","","","string {[]} {[]}
","Interviewer name (Exposures)","Entre the function or title of the person filling in this section 'Exposures' of the questionnaire. It can be the same or a different person conducting the previous sections","","","","","","","","","",,,,,"",,,,"SOTT1ExposureContacts.interviewerName",0,1,"",""
"SOTT1ExposureContacts.interviewerTitle","SOTT1ExposureContacts.interviewerTitle","","","",0,1,"","","","string {[]} {[]}
","Function or title interviewer (Exposures)","Entre the name of the person filling in this section 'Exposures' of the questionnaire. It can be the same or a different person conducting the previous sections","","","","","","","","","",,,,,"",,,,"SOTT1ExposureContacts.interviewerTitle",0,1,"",""
"SOTT1ExposureContacts.noOfHouseholdMembers","SOTT1ExposureContacts.noOfHouseholdMembers","","","",0,1,"","","","Quantity {[]} {[]}
","How many household members do you living with ?","Respondent's number of household members (definition of household to be locally decided - might need to be set to total number for the month)","","","","","","","","","",,,,,"",,,,"SOTT1ExposureContacts.noOfHouseholdMembers",0,1,"",""
"SOTT1ExposureContacts.sickHouseholdMember","SOTT1ExposureContacts.sickHouseholdMember","","","",0,1,"","","","code {[]} {[]}
","Do you have any household members with similar illness or symptoms ?","Indicates if there are any other household members currently ill with a similar illness or sick with a similar illness in the last XX weeks/months","","","","","","","","","",,"required","","http://worldhealthorganization.github.io/smart-ot/ValueSet/YesNoUnknown","",,,,"SOTT1ExposureContacts.sickHouseholdMember",0,1,"",""
"SOTT1ExposureContacts.HouseholdMemberDetails","SOTT1ExposureContacts.HouseholdMemberDetails","","","",0,*,"","","","BackboneElement {[]} {[]}
","Describe details of sick house hold member","Describe details of sick house hold member","","","","","","","","","",,,,,"",,,,"SOTT1ExposureContacts.HouseholdMemberDetails",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SOTT1ExposureContacts.HouseholdMemberDetails.id","SOTT1ExposureContacts.HouseholdMemberDetails.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SOTT1ExposureContacts.HouseholdMemberDetails.extension","SOTT1ExposureContacts.HouseholdMemberDetails.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
