"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"SOTMeaslesContactTracing","SOTMeaslesContactTracing","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit Measles- Contact Tracing","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"SOTMeaslesContactTracing.id","SOTMeaslesContactTracing.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SOTMeaslesContactTracing.extension","SOTMeaslesContactTracing.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SOTMeaslesContactTracing.modifierExtension","SOTMeaslesContactTracing.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SOTMeaslesContactTracing.caseSearchConducted","SOTMeaslesContactTracing.caseSearchConducted","","","",1,1,"","","","code {[]} {[]}
","Were active case-searches conducted?","Were active case-searches conducted?","","","","","","","","","",,"required","","http://worldhealthorganization.github.io/smart-ot/ValueSet/YesNoUnknown","",,,,"SOTMeaslesContactTracing.caseSearchConducted",1,1,"",""
"SOTMeaslesContactTracing.noOfsuspectCases","SOTMeaslesContactTracing.noOfsuspectCases","","","",0,1,"","","","Quantity {[]} {[]}
","If Yes, Number of suspect cases detected during active case-search","If Yes, Number of suspect cases detected during active case-search","","","","","","","","","",,,,,"",,,,"SOTMeaslesContactTracing.noOfsuspectCases",0,1,"",""
"SOTMeaslesContactTracing.pregnantContact","SOTMeaslesContactTracing.pregnantContact","","","",1,1,"","","","code {[]} {[]}
","Was the patient in contact with any pregnant woman?","Was the patient in contact with any pregnant woman?","","","","","","","","","",,"required","","http://worldhealthorganization.github.io/smart-ot/ValueSet/YesNoUnknown","",,,,"SOTMeaslesContactTracing.pregnantContact",1,1,"",""
"SOTMeaslesContactTracing.pregnantContactNames","SOTMeaslesContactTracing.pregnantContactNames","","","",0,1,"","","","string {[]} {[]}
","If Yes, Name(s)","If Yes, Name(s)","","","","","","","","","",,,,,"",,,,"SOTMeaslesContactTracing.pregnantContactNames",0,1,"",""
"SOTMeaslesContactTracing.localCasesPresent","SOTMeaslesContactTracing.localCasesPresent","","","",1,1,"","","","code {[]} {[]}
","Are there other cases present in the case’s municipality of residence?","Are there other cases present in the case’s municipality of residence?","","","","","","","","","",,"required","","http://worldhealthorganization.github.io/smart-ot/ValueSet/YesNoUnknown","",,,,"SOTMeaslesContactTracing.localCasesPresent",1,1,"",""
"SOTMeaslesContactTracing.travelledOutside","SOTMeaslesContactTracing.travelledOutside","","","",1,1,"","","","code {[]} {[]}
","Did the patient travel outside his/her province/state of residence 7-23 days before rash onset?","Did the patient travel outside his/her province/state of residence 7-23 days before rash onset?","","","","","","","","","",,"required","","http://worldhealthorganization.github.io/smart-ot/ValueSet/YesNoUnknown","",,,,"SOTMeaslesContactTracing.travelledOutside",1,1,"",""
"SOTMeaslesContactTracing.travelDetails","SOTMeaslesContactTracing.travelDetails","","","",1,1,"","","","http://worldhealthorganization.github.io/smart-ot/StructureDefinition/SOTMeaslesTravelDetails {[]} {[]}
","Travel History","Travel History","","","","","","","","","",,,,,"",,,,"SOTMeaslesContactTracing.travelDetails",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
